L01 Customer Name (Key)	L01 Branch Key	L01 Document no. Key	Balance
MEDICAL CENTER OF CENTRAL GEORGIA	100000324	0675026397	-222.95
MEDICAL CENTER OF CENTRAL GEORGIA	100000324	0675031427	-28.76
MEDICAL CENTER OF CENTRAL GEORGIA	100000324	0676877305	-0.29
MEDICAL CENTER OF CENTRAL GEORGIA	100109077	0802904150	5.31
MEDICAL CENTER OF CENTRAL GEORGIA	100109077	0802966315	5.28
MEDICAL CENTER OF CENTRAL GEORGIA	100109077	0803015246	6.42
MEDICAL CENTER OF CENTRAL GEORGIA	100109077	0803069250	7.91
MEDICAL CENTER OF CENTRAL GEORGIA	100109077	0803087267	5.48
MEDICAL CENTER OF CENTRAL GEORGIA	100109077	0803098139	5.88
MEDICAL CENTER OF CENTRAL GEORGIA	100109077	0803125255	5.51
MEDICAL CENTER OF CENTRAL GEORGIA	100109077	0803147527	5.54
MEDICAL CENTER OF CENTRAL GEORGIA	100109077	3040266543	102.51
MEDICAL CENTER OF CENTRAL GEORGIA	100109077	3041184150	8.88
MEDICAL CENTER OF CENTRAL GEORGIA	100109077	3050372587	40.69
MEDICAL CENTER OF CENTRAL GEORGIA	100109077	3050565900	40.64
MEDICAL CENTER OF CENTRAL GEORGIA	100109077	3051192948	47.72
MEDICAL CENTER OF CENTRAL GEORGIA	100109077	3051582393	3.39
MEDICAL CENTER OF CENTRAL GEORGIA	100109077	3052555467	43.09
MEDICAL CENTER OF CENTRAL GEORGIA	100109077	3052789896	3.86
MEDICAL CENTER OF CENTRAL GEORGIA	100109077	3052902937	4.04
MEDICAL CENTER OF CENTRAL GEORGIA	100109077	3054249164	51.12
MEDICAL CENTER OF CENTRAL GEORGIA	100109077	3054519319	24.64
MEDICAL CENTER OF CENTRAL GEORGIA	100109077	3055168578	34.53
MEDICAL CENTER OF CENTRAL GEORGIA	100109077	3055699926	23.58
MEDICAL CENTER OF CENTRAL GEORGIA	100109077	3055847692	1.85
MEDICAL CENTER OF CENTRAL GEORGIA	100109077	3057060387	2.22
MEDICAL CENTER OF CENTRAL GEORGIA	100109077	3057770552	6.09
MEDICAL CENTER OF CENTRAL GEORGIA	100109077	3057917323	5.79
MEDICAL CENTER OF CENTRAL GEORGIA	100109077	3058731366	0.57
MEDICAL CENTER OF CENTRAL GEORGIA	100109077	3058860980	54.64
MEDICAL CENTER OF CENTRAL GEORGIA	100109077	3059260212	1.24
MEDICAL CENTER OF CENTRAL GEORGIA	100109077	3060505876	237.09
MEDICAL CENTER OF CENTRAL GEORGIA	100109077	3062243329	6.48
MEDICAL CENTER OF CENTRAL GEORGIA	100109077	3066335448	11.14
MEDICAL CENTER OF CENTRAL GEORGIA	100109079	0803069251	6.14
MEDICAL CENTER OF CENTRAL GEORGIA	100109079	0803125256	5.81
MEDICAL CENTER OF CENTRAL GEORGIA	100109079	3027787094	96.51
MEDICAL CENTER OF CENTRAL GEORGIA	100109079	3052130444	43.09
MEDICAL CENTER OF CENTRAL GEORGIA	100109079	3053633517	20.6
MEDICAL CENTER OF CENTRAL GEORGIA	100109079	3054505915	6.33
MEDICAL CENTER OF CENTRAL GEORGIA	100109079	3055187311	11.72
MEDICAL CENTER OF CENTRAL GEORGIA	100109079	3056231018	2.02
MEDICAL CENTER OF CENTRAL GEORGIA	100109079	3056516018	43.75
MEDICAL CENTER OF CENTRAL GEORGIA	100109079	3056710351	43.09
MEDICAL CENTER OF CENTRAL GEORGIA	100109079	3057770751	7.08
MEDICAL CENTER OF CENTRAL GEORGIA	100109079	3058004266	11.58
MEDICAL CENTER OF CENTRAL GEORGIA	100109079	3060275323	42.48
MEDICAL CENTER OF CENTRAL GEORGIA	100109079	3060845770	1.32
MEDICAL CENTER OF CENTRAL GEORGIA	100109079	3061835616	26.45
MEDICAL CENTER OF CENTRAL GEORGIA	100109079	3063934004	4.12
MEDICAL CENTER OF CENTRAL GEORGIA	100109079	3064909480	5.03
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	0675703810	0.86
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	0802604306	5.4
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	0802792245	7.65
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	0802838260	8.49
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	0802904155	10.66
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	0802931278	6.44
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	0802966316	7.13
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	0802988256	6.96
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	0803015247	7.22
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	0803033249	7.38
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	0803069252	8.31
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	0803087268	7.76
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	0803098140	9.02
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	0803125257	9.5
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	0803147528	9.24
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	3013669636	9.43
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	3013706795	2.05
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	3013768956	5.71
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	3013888900	5.86
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	3014021888	5.71
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	3027168698	80.22
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	3027168699	80.22
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	3040397610	37.82
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	3040426331	148.82
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	3040662122	2
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	3041184241	45.74
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	3041351817	46.64
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	3050376545	11.43
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	3051061272	20.78
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	3051332743	237.98
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	3051591304	0.29
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	3052924074	43.09
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	3053627608	17.47
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	3054522947	0.29
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	3055359107	43.09
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	3055977190	43.09
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	3056515972	0.57
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	3057243238	14.16
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	3059259346	53.14
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	3059858077	12.52
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	3064343322	237.09
MEDICAL CENTER OF CENTRAL GEORGIA	100109101	3066322927	5.57
MEDICAL CENTER OF CENTRAL GEORGIA	100109102	0677396668	-79.45
MEDICAL CENTER OF CENTRAL GEORGIA	100109102	0803125258	5.13
MEDICAL CENTER OF CENTRAL GEORGIA	100109102	3040352003	51.55
MEDICAL CENTER OF CENTRAL GEORGIA	100109102	3050566394	5.18
MEDICAL CENTER OF CENTRAL GEORGIA	100109102	3051863660	4.28
MEDICAL CENTER OF CENTRAL GEORGIA	100109102	3052790460	1.93
MEDICAL CENTER OF CENTRAL GEORGIA	100109102	3053631385	12.52
MEDICAL CENTER OF CENTRAL GEORGIA	100109102	3054248990	5.95
MEDICAL CENTER OF CENTRAL GEORGIA	100109102	3057243053	49.22
MEDICAL CENTER OF CENTRAL GEORGIA	100109102	3057765497	6.76
MEDICAL CENTER OF CENTRAL GEORGIA	100109102	3058981406	19.24
MEDICAL CENTER OF CENTRAL GEORGIA	100109102	3060011546	57.72
MEDICAL CENTER OF CENTRAL GEORGIA	100109102	3065753580	12.07
MEDICAL CENTER OF CENTRAL GEORGIA	100109102	3068651221	19.24
MEDICAL CENTER OF CENTRAL GEORGIA	100109102	3069510490	2.77
MEDICAL CENTER OF CENTRAL GEORGIA	100144442	0802120647	6.07
MEDICAL CENTER OF CENTRAL GEORGIA	100144442	0802172983	5.62
MEDICAL CENTER OF CENTRAL GA 340B	100245622	0802867618	7.52
MEDICAL CENTER OF CENTRAL GA 340B	100245622	0802947889	6.58
